Routes,Stop,Length,TTime,Alight,Board,Riders,Runs,LoadFac,Capacity,CapFac,StopName
Red Line Westbound,36,3615,120,515,1428,12704,20,635.2,160,79.4,NoMa-Gallaudet U -- WB
Red Line Westbound,37,3435,120,1565,4296,15435,20,771.8,160,96.5,Union Station -- WB
Red Line Westbound,38,1786,120,1317,168,14286,20,714.3,160,89.3,Judiciary Square -- WB
Red Line Westbound,39,1768,120,3045,3536,14777,20,738.9,160,92.4,Gallery Place -- WB
Red Line Westbound,40,4141,120,6103,1773,10447,20,522.4,160,65.3,Metro Center -- WB
Red Line Westbound,41,2972,180,4800,142,5789,20,289.5,160,36.2,Farragut North -- WB
Red Line Westbound,42,6025,120,2195,575,4169,20,208.5,160,26.1,Dupont Circle -- WB
Red Line Westbound,43,4227,120,299,318,4188,20,209.4,160,26.2,Woodley Park -- WB
Red Line Westbound,44,2886,120,96,165,4257,20,212.9,160,26.6,Cleveland Park -- WB
Red Line Westbound,45,5734,120,420,183,4020,20,201,160,25.1,Van Ness-UDC -- WB
Red Line Westbound,46,4167,120,536,118,3602,20,180.1,160,22.5,Tenleytown-AU -- WB
Red Line Westbound,47,9485,120,629,177,3150,20,157.5,160,19.7,Friendship Heights -- WB
Red Line Westbound,48,5764,180,1388,139,1901,20,95.1,160,11.9,Bethesda -- WB
Red Line Westbound,49,11091,180,875,21,1047,20,52.4,160,6.5,Medical Center -- WB
Red Line Westbound,50,7222,175.25,141,35,941,20,47.1,160,5.9,Grosvenor-Strathmore -- WB
Red Line Westbound,51,5678,152,263,41,719,20,36,160,4.5,White Flint -- WB
Red Line Westbound,52,11260,236.5,243,44,520,20,26,160,3.3,Twinbrook -- WB
Red Line Westbound,53,13722,289,257,20,283,20,14.2,160,1.8,Rockville -- WB
Red Line Westbound,54,0,0,283,0,0,0,0,0,0,Shady Grove -- WB
Orange Line Eastbound,55,13222,180,0,2529,2529,11,229.9,88,28.7,Vienna -- EB
Orange Line Eastbound,56,12700,240,10,979,3498,11,318,88,39.8,Dunn Loring -- EB
Orange Line Eastbound,57,10933,180,7,735,4226,11,384.2,88,48,West Falls Church -- EB
Orange Line Eastbound,58,13134,240,58,359,4527,11,411.5,88,51.4,East Falls Church -- EB
Orange Line Eastbound,59,2961,120,172,888,5243,11,476.6,88,59.6,Ballston-MU -- EB
